,region,category,parameter,mode,powertrain,year,unit,value
2220,Finland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,706.0
2234,Finland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,225.0
2235,Finland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,706.0
2257,Finland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,338.0
2258,Finland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1786.0
2275,Finland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,408.0
2276,Finland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,3870.0
2303,Finland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,767.0
2304,Finland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5820.0
2455,France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1031.0
2456,France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20153.0
2478,France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1713.0
2479,France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22569.0
2503,France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2040.0
2504,France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,27661.0
2524,France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3284.0
2525,France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,30843.0
2550,France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4465.0
2551,France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,49795.0
2660,Germany,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1801.0
2661,Germany,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22213.0
2684,Germany,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2612.0
2685,Germany,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23112.0
2702,Germany,Historical,EV charging points,EV,Publicly available fast,2019,charging points,5088.0
2703,Germany,Historical,EV charging points,EV,Publicly available slow,2019,charging points,34203.0
2728,Germany,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7456.0
2729,Germany,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37213.0
2747,Germany,Historical,EV charging points,EV,Publicly available fast,2021,charging points,9159.0
2748,Germany,Historical,EV charging points,EV,Publicly available slow,2021,charging points,41813.0
2798,Greece,Historical,EV charging points,EV,Publicly available fast,2018,charging points,22.0
2803,Greece,Historical,EV charging points,EV,Publicly available fast,2019,charging points,22.0
2804,Greece,Historical,EV charging points,EV,Publicly available slow,2019,charging points,12.0
2829,Greece,Historical,EV charging points,EV,Publicly available fast,2020,charging points,29.0
2830,Greece,Historical,EV charging points,EV,Publicly available slow,2020,charging points,161.0
2834,Greece,Historical,EV charging points,EV,Publicly available fast,2021,charging points,79.0
2835,Greece,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1133.0
2936,Iceland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,36.0
2937,Iceland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32.0
2970,Iceland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,55.0
2971,Iceland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,40.0
2972,Iceland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,152.0
2973,Iceland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110.0
3005,Iceland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,190.0
